#HDR:lifnr,matnr,maktx
"0000500015","1-05-1684-5600","CUERPO PARA SALIDA SPIRA"
"0000500015","1-10-0001-7084","BASE G HORNO 80x59 H75.3"
"0000500015","1-10-0641-7090","MDP BLANCO 1.83X2.44m 18mm NAC"
"0000500015","1-10-1216-7090","BISAGRA CLIP TOP BLUMOTION 95° 79B9550"
"0000600005","0-80-0274-5000","pegamentos"
"0000600005","1-05-1684-5600","CUERPO PARA SALIDA SPIRA"
"0000710005","000000000000000024","COLADERA REJILLA REDONDA 1 BOCA"
"0100000000","25400MX","100x50x10 NEOSTONE AVORIO NATURALE CEMEN"
"0100000005","GAI0054","Muestras de Importación Gastos"
"0100000005","GAI0109","Material Indirecto Fab"
"0100000005","GAI0110","Combustbles y Lubricantes Fab"
"0100000010","BIM-01","BIDET CUAD P MON B"
"0300000000","0-80-0274-5000","pegamentos"
"0300000000","25400MX","100x50x10 NEOSTONE AVORIO NATURALE CEMEN"
"0300000000","25401M","100x50x10 NEOSTONE AVORIO NATURALE CEMEN"
"0300000000","TEST01","Piezas de Compra"
#TRL:date,20180919,time,000003
