#HDR:lifnr,matnr,maktx
"0000100001","0-08-0034-1000","ALUMINIO"
"0000100001","0-08-6003-1000","PLOMO"
"0000100001","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100001","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100002","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100004","0-08-6003-1000","PLOMO"
"0000100006","0-80-0502-1000","COBRE-BERILIO"
"0000100008","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100008","0-09-0008-1000","DESPERDICIO DE COBRE"
"0000100009","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100009","0-09-0008-1000","DESPERDICIO DE COBRE"
"0000100011","0-08-0034-1000","ALUMINIO"
"0000100011","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100011","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100012","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100012","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100012","0-19-0002-1000","MATERIA PRIMA DE LATON BAJO DE PB SINM-1"
"0000100014","0-80-6008-1000","DEPURANTE ITALIANO"
"0000100015","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100015","0-80-0149-4000","NIQUEL S ROUND"
"0000100017","0-08-0001-1000","ARENA SILICA"
"0000100021","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100021","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100022","0-08-0034-1000","ALUMINIO"
"0000100022","0-08-6003-1000","PLOMO"
"0000100022","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100022","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100023","0-80-1230-1000","CINTA SIERRA (BIMETALICA)"
"0000100024","0-08-0034-1000","ALUMINIO"
"0000100024","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100024","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100025","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100026","0-80-0018-1000","GRAFITO"
"0000100027","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100027","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100027","0-80-6003-1000","PLOMO"
"0000100030","0-08-6003-1000","PLOMO"
"0000100030","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100030","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100030","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100031","0-80-0018-1000","GRAFITO"
"0000100032","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100036","0-08-0034-1000","ALUMINIO"
"0000100036","0-08-6003-1000","PLOMO"
"0000100036","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100036","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100036","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100037","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100080","0-80-1266-1000","ACEITE CASTELF 65 N"
"0000100096","0-80-1253-1000","GRASA"
"0000100122","AF001F","AF001F MAQUINARIA Y EQUIPO"
"0000100131","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100131","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100131","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100131","0-19-0002-1000","MATERIA PRIMA DE LATON BAJO DE PB SINM-1"
"0000100136","0-80-1219-1000","GRANALLA S-280"
"0000100136","0-80-1220-1000","GRANALLA S-390"
"0000100147","0-80-1529-1000","JABON IND. DECAPANTE L-414 C.VERDE"
"0000100147","0-80-1530-1000","JABON IND. ABRILLANTADOR L-525 C.NARANJA"
"0000100163","AF004F","AF004F EQUIPO DE COMPUTO"
"0000100167","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100168","0-80-1249-1000","ACEITE SOLUBLE"
"0000100175","0-80-1240-1000","DISCO DE CORTE 300ºX80DTE."
"0000100186","0-08-6003-1000","PLOMO"
"0000100187","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100193","0-08-0030-1000","ZINC"
"0000100193","0-80-0030-1000","ZINC"
"0000100194","0-80-0230-4000","SOSA LIQUIDA AL 50%"
"0000100194","0-80-1282-1000","FLUBORATO DE POTASIO"
"0000100195","0-08-6003-1000","PLOMO"
"0000100195","0-80-1265-1000","BISMUTO"
"0000100196","0-08-0001-1000","ARENA SILICA"
"0000100196","0-08-0002-1000","RESINA NACIONAL"
"0000100196","0-08-0003-1000","CATALIZADOR NACIONAL"
"0000100196","0-80-0504-1000","KONSERVER"
"0000100196","0-80-1219-1000","GRANALLA S-280"
"0000100202","0-80-1214-1000","SOLUCION SHINE 14 (VIBRADO)"
"0000100213","AF001F","AF001F MAQUINARIA Y EQUIPO"
"0000100218","AF004F","AF004F EQUIPO DE COMPUTO"
"0000100226","0-80-1178-1000","GUANTE JAPONES"
"0000100226","0-80-1179-1000","GUANTE JAPONES PALMA AZUL"
"0000100226","0-80-1182-1000","GUANTE MUST. SENCILLO (PAYASO)"
"0000100226","0-80-1183-1000","GUANTE MUSTANG ROJO"
"0000100226","0-80-1188-1000","GUANTE DE CARNAZA LARGO"
"0000100226","0-80-1198-1000","MASCARILLA 8511"
"0000100226","0-80-1199-1000","MASCARILLA 8577"
"0000100226","0-80-1202-1000","FILTS.RO 2091 P/  GAS X PAQUETE"
"0000100279","0-08-0031-1000","COBRE CATODO"
"0000100279","0-08-0034-1000","ALUMINIO"
"0000100279","0-09-0008-1000","DESPERDICIO DE COBRE"
"0000100284","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100309","0-08-0034-1000","ALUMINIO"
"0000100310","0-09-0008-1000","DESPERDICIO DE COBRE"
"0000100337","0-08-0001-1000","ARENA SILICA"
"0000100351","0-08-0034-1000","ALUMINIO"
"0000100384","0-09-0003-1000","MATERIA PRIMA DE LATÓN  SINM-103"
"0000100409","0-80-0018-1000","GRAFITO"
"0000100419","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100469","0-08-0034-1000","ALUMINIO"
"0000100469","0-08-6003-1000","PLOMO"
"0000100469","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100469","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100469","0-80-0034-1000","ALUMINIO"
"0000100470","0-08-0034-1000","ALUMINIO"
"0000100470","0-08-6003-1000","PLOMO"
"0000100470","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100470","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100470","0-80-0034-1000","ALUMINIO"
"0000100471","0-08-0030-1000","ZINC"
"0000100471","0-08-0031-1000","COBRE CATODO"
"0000100471","0-08-6003-1000","PLOMO"
"0000100471","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100474","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100479","0-08-0030-1000","ZINC"
"0000100492","0-08-6003-1000","PLOMO"
"0000100514","0-08-6003-1000","PLOMO"
"0000100529","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100537","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100539","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100549","0-08-0001-1000","ARENA SILICA"
"0000100599","0-09-0010-1000","MATERIA PRIMA DE ACERO INOXIDABLE"
"0000100610","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100625","0-80-0018-1000","GRAFITO"
"0000100644","0-80-1540-1000","GRASA CON GRAFITO HF-230A CPD"
"0000100659","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100724","0-08-0034-1000","ALUMINIO"
"0000100724","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100729","0-08-0034-1000","ALUMINIO"
"0000100729","0-08-6003-1000","PLOMO"
"0000100736","0-08-0001-1000","ARENA SILICA"
"0000100740","0-08-6003-1000","PLOMO"
"0000100759","0-08-0034-1000","ALUMINIO"
"0000100759","0-08-6003-1000","PLOMO"
"0000100759","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100774","0-08-0034-1000","ALUMINIO"
"0000100774","0-09-0001-1000","MATERIA PRIMA DE LATÓN"
"0000100775","0-08-0034-1000","ALUMINIO"
"0000100775","0-08-6003-1000","PLOMO"
"0000100804","0-80-1555-1000","Punta para rack  D-02   (2-1/1)"
"0000100804","0-80-1556-1000","Punta para rack  D-03   (3-1/1)"
"0000100804","0-80-1557-1000","Punta para rack  D-04   (3-1/2)"
"0000100804","0-80-1558-1000","Punta para rack  D-05   (6-1/1)"
"0000100804","0-80-1559-1000","Punta para rack  D-08   (9-1/3)"
"0000100804","0-80-1560-1000","Punta para rack D-10 (12-1/2)"
"0000100804","0-80-1561-1000","Punta para rack  D-11   (13-1/2)"
"0000100804","0-80-1562-1000","Punta para rack  D-12   (14-1/2)"
"0000100804","0-80-1563-1000","Punta para rack  D-13   (16-1/1)"
"0000100804","0-80-1564-1000","Punta para rack  D-14   (17-1/1)"
"0000100804","0-80-1565-1000","Punta para rack  D-16   (20-1/1)"
"0000100804","0-80-1566-1000","Punta para rack  D-19   (23-1/2)"
"0000100804","0-80-1567-1000","Punta para rack  D-20   (26-1/1)"
"0000100804","0-80-1568-1000","Punta para rack  D-21   (27-1/1)"
"0000100804","0-80-1569-1000","Punta para rack  D-23   (29-1/1)"
"0000100804","0-80-1570-1000","Punta para rack  D-24   (30-1/1)"
"0000100804","0-80-1571-1000","Punta para rack  D-27   (34-2/2)"
"0000100804","0-80-1572-1000","Punta para rack  D-30   (40-1/1)"
"0000100804","0-80-1573-1000","Punta para rack  D-32   (42-1/1)"
