id,SKU,Descripcion,PrecioLista,Precio Distribuidor,idProveedor,Activo,Fotografia,Especificacion,Video,Status,Unidad, Moneda,Categorizacion
 ,24,COLADERA REJ RED 1B AIBR, ,811.0,,,http://portal.helvex.com.mx/images/productos/24.jpg,,,,ST,MXN,
 ,25,COLADERA REJ RED 3B AIBR, ,900.0,,,http://portal.helvex.com.mx/images/productos/25.jpg,,,,ST,MXN,
 ,26,COLADERA TAPA CIEGA RED 3B AIBR, ,929.0,,,http://portal.helvex.com.mx/images/productos/26.jpg,,,,ST,MXN,
 ,27,COLADERA REJ RED 1B AIBR, ,1058.0,,,http://portal.helvex.com.mx/images/productos/27.jpg,,,,ST,MXN,
 ,28,COLADERA REJ RED 3B AIBR, ,1130.0,,,http://portal.helvex.com.mx/images/productos/28.jpg,,,,ST,MXN,
 ,29,COLADERA TAPA CIEGA RED 25CM 3B AIBR, ,1153.0,,,http://portal.helvex.com.mx/images/productos/29.jpg,,,,ST,MXN,
 ,34,PORTAPAPEL P REPUESTO VERT UNIVERSAL CR, ,688.0,,,http://portal.helvex.com.mx/images/productos/34.jpg,,,,ST,MXN,
 ,100,JAB C AGARR CHAROLA ANTIRR CLASICA CR, ,850.0,,,http://portal.helvex.com.mx/images/productos/100.jpg,,,,ST,MXN,
 ,101,JAB C AGARR CLASICA CR, ,787.0,,,http://portal.helvex.com.mx/images/productos/101.jpg,,,,ST,MXN,
 ,102,JAB SENC CLASICA CR, ,562.0,,,http://portal.helvex.com.mx/images/productos/102.jpg,,,,ST,MXN,
 ,103,JAB SENC EMP CLASICA CR, ,519.0,,,http://portal.helvex.com.mx/images/productos/103.jpg,,,,ST,MXN,
 ,104,PORTAPAPEL TRAD INST CLASICA CR, ,781.0,,,http://portal.helvex.com.mx/images/productos/104.jpg,,,,ST,MXN,
 ,105,TOALL BARRA CUAD CLASICA CR, ,1013.0,,,http://portal.helvex.com.mx/images/productos/105.jpg,,,,ST,MXN,
 ,106,GANCHO DBL CLASICA CR, ,338.0,,,http://portal.helvex.com.mx/images/productos/106.jpg,,,,ST,MXN,
 ,107,PORTAVASO CEP CLASICA CR, ,431.0,,,http://portal.helvex.com.mx/images/productos/107.jpg,,,,ST,MXN,
 ,108,JAB SENC CLASICA CR, ,495.0,,,http://portal.helvex.com.mx/images/productos/108.jpg,,,,ST,MXN,
 ,109,TOALL ARGOLLA CLASICA ANCLA ATORN CR, ,502.0,,,http://portal.helvex.com.mx/images/productos/109.jpg,,,,ST,MXN,
 ,110,PORTATOALL MULTIPLE CLASICA CR, ,2031.0,,,http://portal.helvex.com.mx/images/productos/110.jpg,,,,ST,MXN,
 ,114,PORTAPAPEL C CUBIERTA INST CLASICA CR, ,1127.0,,,http://portal.helvex.com.mx/images/productos/114.jpg,,,,ST,MXN,
 ,115,PORTAPAPEL TRAD INST ANTIROBO CLASICA CR, ,956.0,,,http://portal.helvex.com.mx/images/productos/115.jpg,,,,ST,MXN,
 ,117,PORTAPAPEL TRAD CLASICA CR, ,695.0,,,http://portal.helvex.com.mx/images/productos/117.jpg,,,,ST,MXN,
 ,122,REG CHF CR, ,761.0,,,http://portal.helvex.com.mx/images/productos/122.jpg,,,,ST,MXN,
 ,123,DESTAPADOR CLASICA CR -, ,316.0,,,http://portal.helvex.com.mx/images/productos/123.jpg,,,,ST,MXN,
 ,124,PORTATOALL MULTIPLE CTOALL CLASICA CR *, ,2592.0,,,http://portal.helvex.com.mx/images/productos/124.jpg,,,,ST,MXN,
 ,125,JAB D REJ ESQUINERA CR, ,1159.0,,,http://portal.helvex.com.mx/images/productos/125.jpg,,,,ST,MXN,
 ,158,AGARR ANG C JAB REJ P TINA CLASICA II CR, ,2197.0,,,http://portal.helvex.com.mx/images/productos/158.jpg,,,,ST,MXN,
 ,205,TOALL BARRA CLASICA II CR ?, ,1013.0,,,http://portal.helvex.com.mx/images/productos/205.jpg,,,,ST,MXN,
 ,206,GANCHO DBL CLASICA II CR, ,338.0,,,http://portal.helvex.com.mx/images/productos/206.jpg,,,,ST,MXN,
 ,207,PORTACEP CLASICA II CR -, ,431.0,,,http://portal.helvex.com.mx/images/productos/207.jpg,,,,ST,MXN,
 ,208,JAB SENC SEMIEMP CLASICA II CR, ,495.0,,,http://portal.helvex.com.mx/images/productos/208.jpg,,,,ST,MXN,
 ,209,TOALL ARGOLLA CLASICA II CR, ,502.0,,,http://portal.helvex.com.mx/images/productos/209.jpg,,,,ST,MXN,
 ,210,PORTATOALL MULTIPLE CLASICA II CR, ,2031.0,,,http://portal.helvex.com.mx/images/productos/210.jpg,,,,ST,MXN,
 ,215,PORTAPAPEL TRAD ANTIRROBO CLASICA II CR, ,956.0,,,http://portal.helvex.com.mx/images/productos/215.jpg,,,,ST,MXN,
 ,217,PORTAPAPEL TRAD CLASICA II CR, ,695.0,,,http://portal.helvex.com.mx/images/productos/217.jpg,,,,ST,MXN,
 ,219,PORTAPAPEL DBL ANTIRROBO CLASICA II CR, ,1530.0,,,http://portal.helvex.com.mx/images/productos/219.jpg,,,,ST,MXN,
 ,223,DESTAPADOR CLASICA II CR, ,316.0,,,http://portal.helvex.com.mx/images/productos/223.jpg,,,,ST,MXN,
 ,266,GANCHO PORTAMULETAS CLASICA II CR, ,439.0,,,http://portal.helvex.com.mx/images/productos/266.jpg,,,,ST,MXN,
 ,444,COLADERA AZOTEA CUPULA TUBO 102MM ROSCAR, ,863.0,,,http://portal.helvex.com.mx/images/productos/444.jpg,,,,ST,MXN,
 ,2104,PORTAPAPEL SENC KONOS CR, ,658.0,,,http://portal.helvex.com.mx/images/productos/2104.jpg,,,,ST,MXN,
 ,2105,TOALL BARRA KONOS CR, ,1056.0,,,http://portal.helvex.com.mx/images/productos/2105.jpg,,,,ST,MXN,
 ,2106,GANCHO DBL KONOS CR, ,429.0,,,http://portal.helvex.com.mx/images/productos/2106.jpg,,,,ST,MXN,
 ,2107,PORTACEP KONOS CR, ,725.0,,,http://portal.helvex.com.mx/images/productos/2107.jpg,,,,ST,MXN,
 ,2108,JAB SENC KONOS CR, ,725.0,,,http://portal.helvex.com.mx/images/productos/2108.jpg,,,,ST,MXN,
 ,2109,TOALL SENC KONOS CR, ,695.0,,,http://portal.helvex.com.mx/images/productos/2109.jpg,,,,ST,MXN,
 ,2514,COLADERA REJ RED C CAMPANA, ,1327.0,,,http://portal.helvex.com.mx/images/productos/2514.jpg,,,,ST,MXN,
 ,2584,COLADERA REJ CUAD SELLO CAMPANA AIBR, ,3861.0,,,http://portal.helvex.com.mx/images/productos/2584.jpg,,,,ST,MXN,
 ,2714,COLADERA RECT GDE C CAMPANA, ,3187.0,,,http://portal.helvex.com.mx/images/productos/2714.jpg,,,,ST,MXN,
 ,4954,COLADERA P PRETIL TUBO 102MM, ,1311.0,,,http://portal.helvex.com.mx/images/productos/4954.jpg,,,,ST,MXN,
 ,5424,COLADERA PISO CANASTILLA D SEDIMENTOS, ,1471.0,,,http://portal.helvex.com.mx/images/productos/5424.jpg,,,,ST,MXN,
 ,8104,PORTAPAPEL TRAD ELEGANCE CR, ,1497.0,,,http://portal.helvex.com.mx/images/productos/8104.jpg,,,,ST,MXN,
 ,8105,TOALL BARRA ELEGANCE CR, ,1895.0,,,http://portal.helvex.com.mx/images/productos/8105.jpg,,,,ST,MXN,
 ,8106,GANCHO SENC ELEGANCE CR, ,704.0,,,http://portal.helvex.com.mx/images/productos/8106.jpg,,,,ST,MXN,
 ,8109,TOALL ARGOLLA ELEGANCE CR, ,1109.0,,,http://portal.helvex.com.mx/images/productos/8109.jpg,,,,ST,MXN,
 ,8114,PORTAPAPEL C CUBIERTA ELEGANCE CR, ,1784.0,,,http://portal.helvex.com.mx/images/productos/8114.jpg,,,,ST,MXN,
 ,8116,REPISA CRISTAL 45CM ELEGANCE CR, ,2035.0,,,http://portal.helvex.com.mx/images/productos/8116.jpg,,,,ST,MXN,
 ,8124,PORTATOALL MULTIPLE CTOALL ELEGANCE CR, ,2578.0,,,http://portal.helvex.com.mx/images/productos/8124.jpg,,,,ST,MXN,
 ,8127,PORTAVASO CEP ELEGANCE CR, ,1428.0,,,http://portal.helvex.com.mx/images/productos/8127.jpg,,,,ST,MXN,
 ,8128,JAB SENC ELEGANCE CR, ,1428.0,,,http://portal.helvex.com.mx/images/productos/8128.jpg,,,,ST,MXN,
